a1	a2	a1_BL_ID	a2_BL_ID	totalCollabs	collaborated	distance	duration	a1_LAT	a1_LON	a2_LAT	a2_LON
13608	514727	7776	7747	1	1	323	262	36.0044651833	-78.9419603348	36.0040615939	-78.9403992891
14165	58484	7548	7508	2	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14165	65398	7548	7508	1	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14165	111388	7548	7508	4	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14165	288387	7548	7508	4	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	25542	7548	7508	1	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	35314	7548	7508	2	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	36012	7548	7508	6	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	49214	7548	7508	2	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	59803	7548	7516	1	1	914	697	36.0074638311	-78.9365369081	36.0071644054	-78.9407479763
14640	71161	7548	7508	4	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	116706	7548	7593	4	1	433	324	36.0074638311	-78.9365369081	36.0114604043	-78.9365583658
14640	119267	7548	7508	2	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	215762	7548	7516	1	1	914	697	36.0074638311	-78.9365369081	36.0071644054	-78.9407479763
14640	276784	7548	7516	1	1	914	697	36.0074638311	-78.9365369081	36.0071644054	-78.9407479763
14640	290077	7548	8116	2	1	1211	922	36.0074638311	-78.9365369081	36.0076395804	-78.9267522097
14640	311629	7548	7508	2	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	313583	7548	7508	4	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	373280	7548	7534	3	1	264	201	36.0074638311	-78.9365369081	36.0072186493	-78.9392995834
14640	437402	7548	7508	1	1	709	543	36.0074638311	-78.9365369081	36.0033368637	-78.9359146357
14640	483473	7548	8166	4	1	3860	338	36.0074638311	-78.9365369081	35.9908939	-78.909779191
14640	541537	7548	8116	2	1	1211	922	36.0074638311	-78.9365369081	36.0076395804	-78.9267522097
14640	543480	7548	7516	1	1	914	697	36.0074638311	-78.9365369081	36.0071644054	-78.9407479763
15649	24433	8141	8116	6	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	54158	8141	7507	1	1	1016	758	36.009518555	-78.9416009188	36.0030634608	-78.9369499683
15649	54315	8141	8116	1	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	68329	8141	8116	10	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	81152	8141	8116	6	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	101376	8141	8116	1	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	115558	8141	7735	4	1	858	690	36.009518555	-78.9416009188	36.0032934665	-78.9397501945
15649	231818	8141	8116	1	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	378116	8141	7516	1	1	440	336	36.009518555	-78.9416009188	36.0071644054	-78.9407479763
15649	401643	8141	8116	13	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15649	418160	8141	8116	1	1	1519	1141	36.009518555	-78.9416009188	36.0076395804	-78.9267522097
15741	54158	7735	7507	4	1	1051	860	36.0032934665	-78.9397501945	36.0030634608	-78.9369499683
15741	79419	7735	8141	1	1	858	690	36.0032934665	-78.9397501945	36.009518555	-78.9416009188
15741	211349	7735	7507	2	1	1051	860	36.0032934665	-78.9397501945	36.0030634608	-78.9369499683
15741	217498	7735	7516	6	1	417	317	36.0032934665	-78.9397501945	36.0071644054	-78.9407479763
15741	247191	7735	7507	1	1	1051	860	36.0032934665	-78.9397501945	36.0030634608	-78.9369499683
15741	314922	7735	7508	1	1	1051	860	36.0032934665	-78.9397501945	36.0033368637	-78.9359146357
15741	384573	7735	7508	5	1	1051	860	36.0032934665	-78.9397501945	36.0033368637	-78.9359146357
15741	399360	7735	7508	1	1	1051	860	36.0032934665	-78.9397501945	36.0033368637	-78.9359146357
15741	482966	7735	8141	1	1	858	690	36.0032934665	-78.9397501945	36.009518555	-78.9416009188
16534	221898	7508	7550	4	1	591	462	36.0033368637	-78.9359146357	36.0063268753	-78.9354586601
16534	400539	7508	7709	1	1	830	636	36.0033368637	-78.9359146357	36.0024710845	-78.9370062947
16789	59803	7507	7516	1	1	1110	883	36.0030634608	-78.9369499683	36.0071644054	-78.9407479763
16789	99740	7507	7548	2	1	709	543	36.0030634608	-78.9369499683	36.0074638311	-78.9365369081
16789	114477	7507	7516	1	1	1110	883	36.0030634608	-78.9369499683	36.0071644054	-78.9407479763
16789	136069	7507	7540	2	1	1600	1147	36.0030634608	-78.9369499683	36.0071861029	-78.9446398616
16789	170501	7507	7548	1	1	709	543	36.0030634608	-78.9369499683	36.0074638311	-78.9365369081
16789	211383	7507	7516	1	1	1110	883	36.0030634608	-78.9369499683	36.0071644054	-78.9407479763
16789	229326	7507	7548	2	1	709	543	36.0030634608	-78.9369499683	36.0074638311	-78.9365369081
16789	278275	7507	7548	2	1	709	543	36.0030634608	-78.9369499683	36.0074638311	-78.9365369081
16789	283679	7507	7540	2	1	1600	1147	36.0030634608	-78.9369499683	36.0071861029	-78.9446398616
16999	199378	7735	7508	4	1	1051	860	36.0032934665	-78.9397501945	36.0033368637	-78.9359146357
16999	278390	7735	7579	1	1	291	232	36.0032934665	-78.9397501945	36.0051595258	-78.9391493797
16999	285600	7735	7508	2	1	1051	860	36.0032934665	-78.9397501945	36.0033368637	-78.9359146357
16999	290272	7735	7508	3	1	1051	860	36.0032934665	-78.9397501945	36.0033368637	-78.9359146357
17727	99592	7516	7735	1	1	417	317	36.0071644054	-78.9407479763	36.0032934665	-78.9397501945
17727	102267	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
17727	112728	7516	7534	2	1	689	516	36.0071644054	-78.9407479763	36.0072186493	-78.9392995834
17727	114355	7516	7735	2	1	417	317	36.0071644054	-78.9407479763	36.0032934665	-78.9397501945
17727	115290	7516	8141	1	1	440	336	36.0071644054	-78.9407479763	36.009518555	-78.9416009188
17727	198933	7516	7534	2	1	689	516	36.0071644054	-78.9407479763	36.0072186493	-78.9392995834
17727	235753	7516	7507	1	1	1110	883	36.0071644054	-78.9407479763	36.0030634608	-78.9369499683
17727	381353	7516	7735	2	1	417	317	36.0071644054	-78.9407479763	36.0032934665	-78.9397501945
17727	385124	7516	7735	2	1	417	317	36.0071644054	-78.9407479763	36.0032934665	-78.9397501945
17727	516151	7516	7508	1	1	1110	883	36.0071644054	-78.9407479763	36.0033368637	-78.9359146357
17895	99986	7508	7579	1	1	983	797	36.0033368637	-78.9359146357	36.0051595258	-78.9391493797
17895	543616	7508	8141	2	1	1016	758	36.0033368637	-78.9359146357	36.009518555	-78.9416009188
18989	115558	8116	7735	7	1	3196	533	36.0076395804	-78.9267522097	36.0032934665	-78.9397501945
18989	265591	8116	7516	1	1	1963	348	36.0076395804	-78.9267522097	36.0071644054	-78.9407479763
18989	373516	8116	7516	1	1	1963	348	36.0076395804	-78.9267522097	36.0071644054	-78.9407479763
18989	421806	8116	7508	1	1	1216	926	36.0076395804	-78.9267522097	36.0033368637	-78.9359146357
